trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
401,False,"{'a': 0.25, 'e': 0.01813339523680108}",20,11,15.291189760696001,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.25, 'e': 0.01795296493950285}",20,3,32.10357235528566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.25, 'e': 0.01777432995365944}",30,4,37.22858281428876,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.25, 'e': 0.017597472415623393}",25,5,32.73954614035846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.25, 'e': 0.017422374639493515}",25,0,38.54253280096958,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.25, 'e': 0.017249019115346265}",20,0,26.388237064216096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
407,False,"{'a': 0.25, 'e': 0.017077388507484793}",20,0,28.478801773671645,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
408,False,"{'a': 0.25, 'e': 0.01690746565270528}",30,0,46.10978721697741,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
409,False,"{'a': 0.25, 'e': 0.016739233558580632}",20,0,29.540546083138107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
410,False,"{'a': 0.25, 'e': 0.01657267540176125}",20,12,12.84067084155817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.25, 'e': 0.016407774526292645}",20,0,31.87565600057058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
412,False,"{'a': 0.25, 'e': 0.01624451444194987}",25,7,34.98071859407609,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.25, 'e': 0.016082878822588433}",35,15,34.65095888713867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.25, 'e': 0.015922851504511698}",20,3,26.200161435299208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.25, 'e': 0.015764416484854486}",20,10,17.351072396418836,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.25, 'e': 0.015607557919982829}",20,0,19.003839087523254,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
417,False,"{'a': 0.25, 'e': 0.015452260123909515}",20,3,22.125694263464705,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.25, 'e': 0.015298507566725518}",25,1,39.82611183833716,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.25, 'e': 0.015146284873046978}",20,0,28.48189274375925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
420,False,"{'a': 0.25, 'e': 0.014995576820477703}",25,7,30.69957607464998,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.25, 'e': 0.014846368338086833}",30,1,49.52949586764689,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.25, 'e': 0.014698644504901782}",30,6,37.4111122441745,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.25, 'e': 0.014552390548416122}",25,11,26.204504684315996,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.25, 'e': 0.01440759184311235}",20,0,20.066402906636146,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
425,False,"{'a': 0.25, 'e': 0.014264233908999256}",20,6,23.48354772091331,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.25, 'e': 0.014122302410163963}",20,0,24.997984192097487,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
427,False,"{'a': 0.25, 'e': 0.013981783153338296}",20,13,13.788899358793635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.25, 'e': 0.013842662086479503}",30,0,42.61963053609526,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
429,False,"{'a': 0.25, 'e': 0.013704925297364943}",25,8,29.775841740596988,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.25, 'e': 0.013568559012200934}",20,0,30.940858043927282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
431,False,"{'a': 0.25, 'e': 0.013433549594245302}",30,0,38.24660201226673,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
432,False,"{'a': 0.25, 'e': 0.013299883542443767}",25,0,39.254637032277536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
433,False,"{'a': 0.25, 'e': 0.013167547490079753}",20,0,32.32395297170679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,False,"{'a': 0.25, 'e': 0.013036528203437736}",20,0,35.65563467225657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
435,False,"{'a': 0.25, 'e': 0.012906812580479862}",30,0,51.23325490331223,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.25, 'e': 0.01277838764953576}",20,8,14.402856438929923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.25, 'e': 0.012651240568005305}",30,0,41.56169186452049,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
438,False,"{'a': 0.25, 'e': 0.012525358621074387}",20,0,25.901558261568688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.25, 'e': 0.012400729220443408}",25,0,35.10667609586489,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
440,False,"{'a': 0.25, 'e': 0.012277339903068438}",25,14,22.755636157797703,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.25, 'e': 0.012155178329914937}",25,13,18.717745406908875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.25, 'e': 0.012034232284723775}",20,0,14.388221689871969,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
443,False,"{'a': 0.25, 'e': 0.011914489672789646}",20,8,19.182817910239127,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.25, 'e': 0.01179593851975156}",20,2,27.173641881181812,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.25, 'e': 0.011678566970395444}",35,2,55.76670894966958,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.25, 'e': 0.011562363287468536}",30,8,-7.906119750790294,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
447,False,"{'a': 0.25, 'e': 0.01144731585050571}",20,0,24.992600122785557,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.25, 'e': 0.011333413154667389}",20,0,29.17732002797688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
449,False,"{'a': 0.25, 'e': 0.011220643809589084}",25,13,18.914204363454584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.25, 'e': 0.011108996538242306}",35,18,31.234212512540036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.25, 'e': 0.010998460175806881}",20,10,15.335181979386102,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.25, 'e': 0.01088902366855444}",25,7,37.05034355915486,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.25, 'e': 0.010780676072743082}",25,11,25.107101514904826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.25, 'e': 0.010673406553522925}",35,2,47.63351378340473,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.25, 'e': 0.010567204383852655}",20,9,19.406797028721574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.25, 'e': 0.010462058943426795}",30,8,39.2959329899942,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.25, 'e': 0.010357959717613698}",20,9,16.46972558098771,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.25, 'e': 0.010254896296404022}",30,0,30.108508623293773,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
459,False,"{'a': 0.25, 'e': 0.010152858373369763}",25,0,25.911198518385405,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
460,False,"{'a': 0.25, 'e': 0.010051835744633576}",20,0,28.507425337956274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
461,False,"{'a': 0.25, 'e': 0.00995181830784842}",25,7,24.449598493269622,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.25, 'e': 0.009852796061187255}",30,0,46.16874786990428,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
463,False,"{'a': 0.25, 'e': 0.009754759102342903}",35,0,49.08359767907814,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
464,False,"{'a': 0.25, 'e': 0.009657697627537777}",20,10,20.16975203049572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.25, 'e': 0.009561601930543505}",20,16,4.602215723716017,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.25, 'e': 0.009466462401710323}",20,7,23.80188195867686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.25, 'e': 0.009372269527006058}",20,0,25.306686530543235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
468,False,"{'a': 0.25, 'e': 0.009279013887064742}",20,4,29.548105381782268,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.25, 'e': 0.009186686156244664}",20,0,33.24737030488424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
